term_id,term_name,preferred_names,category,fdr
PMID:34298667,(2021) Molecular Pathways and Druggable Targets in Head and Neck Squamous Cell Carcinoma.,"CDK2,TP53,EGFR,MTOR,PTEN,BRCA1,AKT1,VEGFA,MYC",PMID,9.41e-15
PMID:31380247,(2019) The Chemopreventive Activity of Indonesia Medicinal Plants Targeting on Hallmarks of Cancer.,"CDK2,TP53,EGFR,PTEN,BRCA1,AKT1,VEGFA,MYC",PMID,9.41e-15
PMID:27773999,(2016) Role of Chemotherapy and Mechanisms of Resistance to Chemotherapy in Metastatic Castration-Resistant Prostate Cancer.,"TP53,EGFR,MTOR,PTEN,BRCA1,AKT1,VEGFA,MYC",PMID,9.41e-15
PMID:22583402,(2012) Cancer prevention with promising natural products: mechanisms of action and molecular targets.,"CDK2,TP53,EGFR,MTOR,PTEN,BRCA1,AKT1,VEGFA,MYC",PMID,9.74e-15
PMID:29882812,"(2018) Pharmacological Targeting of Cell Cycle, Apoptotic and Cell Adhesion Signaling Pathways Implicated in Chemoresistance of Cancer Cells.","CDK2,TP53,EGFR,MTOR,PTEN,BRCA1,AKT1,VEGFA,MYC",PMID,1.01e-14
PMID:31294537,(2019) ErbB-2 signaling in advanced prostate cancer progression and potential therapy,"MAPK1,TP53,EGFR,MTOR,PTEN,AKT1,VEGFA,MYC",PMID,1.01e-14
PMID:30558195,"(2018) Racial Disparity and Triple-Negative Breast Cancer in African-American Women: A Multifaceted Affair between Obesity, Biology, and Socioeconomic Determinants.","TP53,EGFR,MTOR,PTEN,BRCA1,AKT1,VEGFA,MYC",PMID,1.13e-14
PMID:24889535,(2014) Genetically engineered mice as experimental tools to dissect the critical events in breast cancer.,"CDK2,TP53,EGFR,PTEN,BRCA1,AKT1,VEGFA,MYC",PMID,1.13e-14
PMID:31861937,(2019) MicroRNA-Based Combinatorial Cancer Therapy: Effects of MicroRNAs on the Efficacy of Anti-Cancer Therapies.,"MAPK1,CDK2,TP53,EGFR,MTOR,PTEN,BRCA1,AKT1,MYC",PMID,1.19e-14
PMID:28396911,(2017) Molecularly targeted therapies in cancer: a guide for the nuclear medicine physician.,"TP53,EGFR,MTOR,PTEN,BRCA1,AKT1,VEGFA,MYC",PMID,1.23e-14
PMID:30213113,(2018) Alterations of Signaling Pathways Related to the Immune System in Breast Cancer: New Perspectives in Patient Management.,"TP53,EGFR,MTOR,PTEN,BRCA1,AKT1,VEGFA,MYC",PMID,1.23e-14
PMID:22279619,(2012) Skp2 is a promising therapeutic target in breast cancer.,"CDK2,TP53,EGFR,MTOR,PTEN,BRCA1,AKT1,MYC",PMID,1.38e-14
PMID:18821591,(2008) Molecular targeted therapies in hepatocellular carcinoma.,"TP53,EGFR,MTOR,PTEN,BRCA1,AKT1,VEGFA,MYC",PMID,1.38e-14
PMID:28187748,(2017) Characterization of ovarian clear cell carcinoma using target drug-based molecular biomarkers: implications for personalized cancer therapy.,"TP53,EGFR,MTOR,PTEN,BRCA1,AKT1,VEGFA",PMID,1.38e-14
PMID:30103472,(2018) Magnolol: A Neolignan from the Magnolia Family for the Prevention and Treatment of Cancer.,"CDK2,TP53,EGFR,MTOR,PTEN,AKT1,VEGFA,MYC",PMID,1.38e-14
PMID:31671773,(2019) SL-BioDP: Multi-Cancer Interactive Tool for Prediction of Synthetic Lethality and Response to Cancer Treatment.,"MAPK1,TP53,EGFR,MTOR,PTEN,BRCA1,MYC",PMID,1.38e-14
PMID:32570740,(2020) CDK12: A Potent Target and Biomarker for Human Cancer Therapy.,"CDK2,TP53,EGFR,MTOR,PTEN,BRCA1,AKT1,MYC",PMID,1.46e-14
PMID:22006825,(2011) The two faces of FBW7 in cancer drug resistance.,"TP53,EGFR,MTOR,PTEN,BRCA1,AKT1,VEGFA,MYC",PMID,1.46e-14
PMID:26078352,(2015) Reactive oxygen species a double-edged sword for mesothelioma.,"MAPK1,TP53,EGFR,MTOR,PTEN,AKT1,VEGFA,MYC",PMID,1.46e-14
PMID:33114576,(2020) The Mechanisms of PD-L1 Regulation in Non-Small-Cell Lung Cancer (NSCLC): Which Are the Involved Players?,"TP53,EGFR,MTOR,PTEN,BRCA1,AKT1,VEGFA,MYC",PMID,1.46e-14
PMID:19417150,"(2009) XIII International Charles Heidelberger Symposium and 50 Years of Fluoropyrimidines in Cancer Therapy Held on september 6 to 8, 2007 at New York University Cancer Institute, Smilow Conference Center.","TP53,EGFR,MTOR,PTEN,BRCA1,AKT1,VEGFA,MYC",PMID,1.46e-14
PMID:34944973,(2021) Molecular Pathology of Human Papilloma Virus-Negative Cervical Cancers.,"MAPK1,TP53,EGFR,MTOR,PTEN,AKT1,VEGFA,MYC",PMID,1.55e-14
PMID:24504069,"(2014) First MNKs degrading agents block phosphorylation of eIF4E, induce apoptosis, inhibit cell growth, migration and invasion in triple negative and Her2-overexpressing breast cancer cell lines.","CDK2,TP53,EGFR,MTOR,PTEN,AKT1,VEGFA",PMID,1.63e-14
PMID:31662821,(2019) Precision medicine in gastric cancer.,"TP53,EGFR,MTOR,PTEN,BRCA1,AKT1,VEGFA,MYC",PMID,1.73e-14
PMID:25749195,(2015) Evasion of anti-growth signaling: A key step in tumorigenesis and potential target for treatment and prophylaxis by natural compounds.,"CDK2,TP53,EGFR,MTOR,PTEN,BRCA1,AKT1,VEGFA,MYC",PMID,1.95e-14
PMID:33031826,(2020) CRISPRCas9: A powerful genome editing technique for the treatment of cancer cells with present challenges and future directions.,"MAPK1,TP53,EGFR,PTEN,BRCA1,AKT1,VEGFA,MYC",PMID,1.95e-14
PMID:32443845,(2020) Role and Mechanisms of RAGE-Ligand Complexes and RAGE-Inhibitors in Cancer Progression.,"CDK2,TP53,EGFR,MTOR,PTEN,AKT1,VEGFA,MYC",PMID,1.95e-14
PMID:26022660,(2015) The role of the PI3KAktmTOR signalling pathway in human cancers induced by infection with human papillomaviruses.,"CDK2,TP53,EGFR,MTOR,PTEN,BRCA1,AKT1,VEGFA",PMID,1.95e-14
PMID:33540286,(2021) Druggable targets meet oncogenic drivers: opportunities and limitations of target-based classification of tumors and the role of Molecular Tumor Boards.,"MAPK1,CDK2,TP53,EGFR,PTEN,BRCA1,AKT1,VEGFA",PMID,1.95e-14
PMID:26221076,(2015) Targeting Apoptosis and Multiple Signaling Pathways with Icariside II in Cancer Cells.,"CDK2,TP53,EGFR,MTOR,PTEN,AKT1,VEGFA,MYC",PMID,2.08e-14
PMID:25493373,"(2015) The Role of Nutraceuticals in Pancreatic Cancer Prevention and Therapy: Targeting Cellular Signaling, MicroRNAs, and Epigenome.","TP53,EGFR,MTOR,PTEN,BRCA1,AKT1,VEGFA,MYC",PMID,2.08e-14
PMID:21556249,"(2009) Growth factor receptors and apoptosis regulators: signaling pathways, prognosis, chemosensitivity and treatment outcomes of breast cancer.","MAPK1,CDK2,TP53,EGFR,BRCA1,AKT1,VEGFA,MYC",PMID,2.08e-14
PMID:32235364,(2020) Therapy-Induced Senescence: An Old Friend Becomes the Enemy.,"TP53,EGFR,MTOR,PTEN,BRCA1,AKT1,VEGFA,MYC",PMID,2.08e-14
PMID:33158279,(2020) Non-Coding RNAs: Uncharted Mediators of Thyroid Cancer Pathogenesis.,"MAPK1,TP53,EGFR,MTOR,PTEN,AKT1,VEGFA,MYC",PMID,2.08e-14
PMID:34691284,(2021) Exploring the Extracellular Vesicle MicroRNA Expression Repertoire in Patients with Rheumatoid Arthritis and Ankylosing Spondylitis Treated with TNF Inhibitors.,"MAPK1,TP53,EGFR,PTEN,BRCA1,AKT1,VEGFA,MYC",PMID,2.08e-14
PMID:31727671,(2019) Genomics and Targeted Therapies in Gastroesophageal Adenocarcinoma.,"CDK2,TP53,EGFR,PTEN,BRCA1,AKT1,VEGFA,MYC",PMID,2.19e-14
PMID:33078209,"(2021) Endothelial sprouting, proliferation, or senescence: tipping the balance from physiology to pathology.","MAPK1,CDK2,TP53,MTOR,PTEN,AKT1,VEGFA,MYC",PMID,2.19e-14
PMID:22481935,(2012) Akt: a double-edged sword in cell proliferation and genome stability.,"CDK2,TP53,EGFR,MTOR,PTEN,BRCA1,AKT1,MYC",PMID,2.19e-14
PMID:28503089,(2017) Anticancer Chemodiversity of Ranunculaceae Medicinal Plants: Molecular Mechanisms and Functions.,"CDK2,TP53,EGFR,MTOR,PTEN,BRCA1,AKT1,VEGFA,MYC",PMID,2.4e-14
PMID:28791656,(2017) EGFR as a Target for Glioblastoma Treatment: An Unfulfilled Promise.,"TP53,EGFR,MTOR,PTEN,AKT1,VEGFA,MYC",PMID,2.4e-14
PMID:26699919,(2016) ECGene: A Literature-Based Knowledgebase of Endometrial Cancer Genes.,"MAPK1,TP53,EGFR,PTEN,AKT1,VEGFA,MYC",PMID,2.4e-14
PMID:32210335,(2020) OncoOmics approaches to reveal essential genes in breast cancer: a panoramic view from pathogenesis to precision medicine.,"MAPK1,CDK2,TP53,EGFR,PTEN,BRCA1,AKT1,VEGFA",PMID,2.4e-14
PMID:32945490,(2020) Emerging role of circular RNA in intervertebral disc degeneration: Knowns and unknowns (Review).,"MAPK1,CDK2,TP53,MTOR,PTEN,AKT1,VEGFA,MYC",PMID,2.4e-14
PMID:28184290,(2017) Recent Advances in Endometrial Cancer.,"TP53,EGFR,MTOR,PTEN,BRCA1,AKT1,VEGFA",PMID,2.4e-14
PMID:24649216,(2013) The biology of uterine sarcomas: A review and update.,"TP53,EGFR,MTOR,PTEN,BRCA1,AKT1,VEGFA,MYC",PMID,2.55e-14
PMID:19610618,(2009) Inhibition of the insulin-like growth factor-1 receptor (IGF1R) tyrosine kinase as a novel cancer therapy approach.,"MAPK1,CDK2,TP53,EGFR,MTOR,AKT1,VEGFA,MYC",PMID,2.55e-14
PMID:29068474,(2018) The PI3KAKT signaling pathway: Associations of miRNAs with dysregulated gene expression in colorectal cancer.,"TP53,EGFR,MTOR,PTEN,BRCA1,AKT1,VEGFA,MYC",PMID,2.55e-14
PMID:34909665,(2021) Prostate cancer: Therapeutic prospect with herbal medicine.,"CDK2,TP53,EGFR,MTOR,PTEN,BRCA1,AKT1,VEGFA,MYC",PMID,2.55e-14
PMID:26185420,"(2015) Pancreatic cancer: optimizing treatment options, new, and emerging targeted therapies.","TP53,EGFR,MTOR,PTEN,BRCA1,AKT1,VEGFA,MYC",PMID,2.55e-14
PMID:28054957,(2017) Molecular Biomarkers for Prediction of Targeted Therapy Response in Metastatic Breast Cancer: Trick or Treat?,"CDK2,TP53,EGFR,PTEN,BRCA1,AKT1,VEGFA,MYC",PMID,2.73e-14
PMID:23983689,(2013) Neoadjuvant therapy in operable breast cancer: application to triple negative breast cancer.,"TP53,EGFR,PTEN,BRCA1,AKT1,VEGFA,MYC",PMID,2.83e-14
PMID:33266043,(2020) Pogostemon cablin Triggered ROS-Induced DNA Damage to Arrest Cell Cycle Progression and Induce Apoptosis on Human Hepatocellular Carcinoma In Vitro and In Vivo.,"CDK2,TP53,EGFR,PTEN,AKT1,VEGFA,MYC",PMID,2.83e-14
PMID:32474568,(2020) Identification of the Active Compounds and Significant Pathways of Artemisia Annua in the Treatment of Non-Small Cell Lung Carcinoma based on Network Pharmacology.,"MAPK1,TP53,EGFR,PTEN,AKT1,VEGFA,MYC",PMID,2.83e-14
PMID:29541939,"(2018) Analyses of repeated failures in cancer therapy for solid tumors: poor tumor-selective drug delivery, low therapeutic efficacy and unsustainable costs.","TP53,EGFR,MTOR,BRCA1,AKT1,VEGFA,MYC",PMID,2.83e-14
PMID:19781107,(2009) Ovarian cancer mouse models: a summary of current models and their limitations.,"TP53,MTOR,PTEN,BRCA1,AKT1,VEGFA,MYC",PMID,2.83e-14
PMID:25786580,(2015) The impact of concomitant genomic alterations on treatment outcome for trastuzumab therapy in HER2-positive gastric cancer.,"CDK2,TP53,EGFR,MTOR,PTEN,AKT1,MYC",PMID,2.83e-14
hsa05224,Breast cancer,"MAPK1,TP53,EGFR,MTOR,PTEN,BRCA1,AKT1,MYC",KEGG,8.64e-14
hsa05230,Central carbon metabolism in cancer,"MAPK1,TP53,EGFR,MTOR,PTEN,AKT1,MYC",KEGG,1.24e-13
hsa05206,MicroRNAs in cancer,"MAPK1,TP53,EGFR,MTOR,PTEN,BRCA1,VEGFA,MYC",KEGG,1.24e-13
WP4262,Breast cancer pathway,"MAPK1,TP53,EGFR,MTOR,PTEN,BRCA1,AKT1,MYC",WikiPathways,1.76e-13
WP4806,EGFR tyrosine kinase inhibitor resistance,"MAPK1,EGFR,MTOR,PTEN,AKT1,VEGFA,MYC",WikiPathways,6.35e-13
WP2261,Glioblastoma signaling pathways,"MAPK1,CDK2,TP53,EGFR,PTEN,BRCA1,AKT1",WikiPathways,6.35e-13
hsa05215,Prostate cancer,"MAPK1,CDK2,TP53,EGFR,MTOR,PTEN,AKT1",KEGG,7.22e-13
DOID:0080355,Hepatobiliary system cancer,"TP53,EGFR,PTEN,BRCA1,AKT1,VEGFA,MYC",DISEASES,2.85e-12
hsa05200,Pathways in cancer,"MAPK1,CDK2,TP53,EGFR,MTOR,PTEN,AKT1,VEGFA,MYC",KEGG,3.73e-12
WP1971,Integrated cancer pathway,"CDK2,TP53,PTEN,BRCA1,AKT1,MYC",WikiPathways,4.79e-12
hsa05213,Endometrial cancer,"MAPK1,TP53,EGFR,PTEN,AKT1,MYC",KEGG,7.98e-12
hsa05226,Gastric cancer,"MAPK1,CDK2,TP53,EGFR,MTOR,AKT1,MYC",KEGG,7.98e-12
hsa04218,Cellular senescence,"MAPK1,CDK2,TP53,MTOR,PTEN,AKT1,MYC",KEGG,8.19e-12
hsa05165,Human papillomavirus infection,"MAPK1,CDK2,TP53,EGFR,MTOR,PTEN,AKT1,VEGFA",KEGG,9.47e-12
hsa05225,Hepatocellular carcinoma,"MAPK1,TP53,EGFR,MTOR,PTEN,AKT1,MYC",KEGG,1.04e-11
hsa05212,Pancreatic cancer,"MAPK1,TP53,EGFR,MTOR,AKT1,VEGFA",KEGG,1.91e-11
hsa05214,Glioma,"MAPK1,TP53,EGFR,MTOR,PTEN,AKT1",KEGG,1.91e-11
hsa01521,EGFR tyrosine kinase inhibitor resistance,"MAPK1,EGFR,MTOR,PTEN,AKT1,VEGFA",KEGG,2.59e-11
hsa05205,Proteoglycans in cancer,"MAPK1,TP53,EGFR,MTOR,AKT1,VEGFA,MYC",KEGG,3.04e-11
hsa05210,Colorectal cancer,"MAPK1,TP53,EGFR,MTOR,AKT1,MYC",KEGG,3.04e-11
WP4155,Endometrial cancer,"MAPK1,TP53,EGFR,PTEN,AKT1,MYC",WikiPathways,3.09e-11
WP2374,Oncostatin M signaling pathway,"MAPK1,CDK2,TP53,MTOR,AKT1,VEGFA",WikiPathways,3.23e-11
WP4674,Head and neck squamous cell carcinoma,"TP53,EGFR,MTOR,PTEN,AKT1,VEGFA",WikiPathways,5.14e-11
hsa05163,Human cytomegalovirus infection,"MAPK1,TP53,EGFR,MTOR,AKT1,VEGFA,MYC",KEGG,5.56e-11
WP4263,Pancreatic adenocarcinoma pathway,"MAPK1,TP53,EGFR,MTOR,AKT1,VEGFA",WikiPathways,1.37e-10
WP673,ErbB signaling pathway,"MAPK1,TP53,EGFR,MTOR,AKT1,MYC",WikiPathways,1.51e-10
DOID:305,Carcinoma,"TP53,EGFR,MTOR,PTEN,BRCA1,AKT1,VEGFA,MYC",DISEASES,1.66e-10
DOID:219,Colon cancer,"TP53,EGFR,AKT1,VEGFA,MYC",DISEASES,1.78e-10
DOID:3118,Hepatobiliary disease,"TP53,EGFR,PTEN,BRCA1,AKT1,VEGFA,MYC",DISEASES,1.78e-10
hsa05219,Bladder cancer,"MAPK1,TP53,EGFR,VEGFA,MYC",KEGG,2.67e-10
DOID:0050686,Organ system cancer,"CDK2,TP53,EGFR,MTOR,PTEN,BRCA1,AKT1,VEGFA,MYC",DISEASES,5.34e-10
WP4659,Gastrin signaling pathway,"MAPK1,EGFR,MTOR,AKT1,VEGFA,MYC",WikiPathways,5.44e-10
WP2828,Bladder cancer,"MAPK1,TP53,EGFR,VEGFA,MYC",WikiPathways,6.65e-10
hsa05160,Hepatitis C,"MAPK1,CDK2,TP53,EGFR,AKT1,MYC",KEGG,1.06e-09
WP2586,Aryl hydrocarbon receptor Netpath,"MAPK1,CDK2,EGFR,VEGFA,MYC",WikiPathways,1.19e-09
WP3646,Hepatitis C and hepatocellular carcinoma,"TP53,BRCA1,AKT1,VEGFA,MYC",WikiPathways,1.49e-09
HSA-212436,Generic Transcription Pathway,"MAPK1,CDK2,TP53,EGFR,MTOR,PTEN,BRCA1,AKT1,VEGFA,MYC",RCTM,1.67e-09
hsa05167,Kaposi sarcoma-associated herpesvirus infection,"MAPK1,TP53,MTOR,AKT1,VEGFA,MYC",KEGG,2.9e-09
hsa05218,Melanoma,"MAPK1,TP53,EGFR,PTEN,AKT1",KEGG,3.28e-09
DOID:77,Gastrointestinal system disease,"TP53,EGFR,MTOR,PTEN,BRCA1,AKT1,VEGFA,MYC",DISEASES,3.89e-09
WP3651,Pathways affected in adenoid cystic carcinoma,"TP53,PTEN,BRCA1,AKT1,MYC",WikiPathways,4.94e-09
hsa05166,Human T-cell leukemia virus 1 infection,"MAPK1,CDK2,TP53,PTEN,AKT1,MYC",KEGG,5.35e-09
WP2032,Thyroid stimulating hormone (TSH) signaling pathway,"MAPK1,CDK2,MTOR,AKT1,MYC",WikiPathways,5.39e-09
WP3303,RAC1/PAK1/p38/MMP2 pathway,"MAPK1,TP53,EGFR,AKT1,MYC",WikiPathways,5.47e-09
hsa04012,ErbB signaling pathway,"MAPK1,EGFR,MTOR,AKT1,MYC",KEGG,5.92e-09
hsa05235,PD-L1 expression and PD-1 checkpoint pathway in cancer,"MAPK1,EGFR,MTOR,PTEN,AKT1",KEGG,7.51e-09
GO:0051052,Regulation of DNA metabolic process,"MAPK1,CDK2,TP53,EGFR,BRCA1,AKT1,VEGFA,MYC",Process,8.09e-09
hsa05222,Small cell lung cancer,"CDK2,TP53,PTEN,AKT1,MYC",KEGG,8.94e-09
GOCC:1990455,PTEN phosphatase complex,"TP53,MTOR,PTEN,AKT1",COMPARTMENTS,9.98e-09
