source_db,term_id,term_name,p_adj,significant,description,term_size,query_size,overlap,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0044843,cell cycle G1/S phase transition,3.778929297396431e-07,True,"""The cell cycle process by which a cell in G1 phase commits to S phase."" [GOC:mtg_cell_cycle]",230,10,6,21026,0.6,0.02608695652173913,query_1,['GO:0044770']
KEGG,KEGG:05160,Hepatitis C,4.597552047715236e-07,True,Hepatitis C,158,10,6,8484,0.6,0.0379746835443038,query_1,['KEGG:00000']
GO:BP,GO:0051128,regulation of cellular component organization,4.923144791497702e-07,True,"""Any process that modulates the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of cell structures, including the plasma membrane and any external encapsulating structures such as the cell wall and cell envelope."" [GOC:ai]",2433,10,10,21026,1.0,0.004110152075626798,query_1,"['GO:0016043', 'GO:0050794']"
KEGG,KEGG:05218,Melanoma,5.720379785215758e-07,True,Melanoma,72,10,5,8484,0.5,0.06944444444444445,query_1,['KEGG:00000']
REAC,REAC:R-HSA-74160,Gene expression (Transcription),6.683219977960429e-07,True,Gene expression (Transcription),1518,10,10,11004,1.0,0.006587615283267457,query_1,['REAC:0000000']
GO:BP,GO:0044770,cell cycle phase transition,8.34077644200428e-07,True,"""The cell cycle process by which a cell commits to entering the next cell cycle phase."" [GOC:mtg_cell_cycle]",532,10,7,21026,0.7,0.013157894736842105,query_1,['GO:0022402']
KEGG,KEGG:04012,ErbB signaling pathway,1.2547185861590767e-06,True,ErbB signaling pathway,84,10,5,8484,0.5,0.05952380952380952,query_1,['KEGG:00000']
GO:BP,GO:0006259,DNA metabolic process,1.273587875794111e-06,True,"""Any cellular metabolic process involving deoxyribonucleic acid. This is one of the two main types of nucleic acid, consisting of a long, unbranched macromolecule formed from one, or more commonly, two, strands of linked deoxyribonucleotides."" [ISBN:0198506732]",1005,10,8,21026,0.8,0.007960199004975124,query_1,['GO:0090304']
KEGG,KEGG:05167,Kaposi sarcoma-associated herpesvirus infection,1.5804593976442504e-06,True,Kaposi sarcoma-associated herpesvirus infection,194,10,6,8484,0.6,0.030927835051546393,query_1,['KEGG:00000']
GO:BP,GO:0051247,positive regulation of protein metabolic process,1.6585115955524212e-06,True,"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving a protein."" [GOC:ai]",1039,10,8,21026,0.8,0.007699711260827719,query_1,"['GO:0010604', 'GO:0019538', 'GO:0051246']"
KEGG,KEGG:05235,PD-L1 expression and PD-1 checkpoint pathway in cancer,1.6828076902574882e-06,True,PD-L1 expression and PD-1 checkpoint pathway in cancer,89,10,5,8484,0.5,0.056179775280898875,query_1,['KEGG:00000']
KEGG,KEGG:05222,Small cell lung cancer,1.9907852440672806e-06,True,Small cell lung cancer,92,10,5,8484,0.5,0.05434782608695652,query_1,['KEGG:00000']
GO:BP,GO:0040008,regulation of growth,2.019051594501147e-06,True,"""Any process that modulates the frequency, rate or extent of the growth of all or part of an organism so that it occurs at its proper speed, either globally or in a specific part of the organism's development."" [GOC:ems, GOC:mah]",604,10,7,21026,0.7,0.011589403973509934,query_1,"['GO:0040007', 'GO:0050789']"
KEGG,KEGG:01522,Endocrine resistance,2.3420614648096965e-06,True,Endocrine resistance,95,10,5,8484,0.5,0.05263157894736842,query_1,['KEGG:00000']
KEGG,KEGG:05207,Chemical carcinogenesis - receptor activation,2.6144506526774284e-06,True,Chemical carcinogenesis - receptor activation,211,10,6,8484,0.6,0.02843601895734597,query_1,['KEGG:00000']
GO:BP,GO:0031401,positive regulation of protein modification process,2.9229229174689408e-06,True,"""Any process that activates or increases the frequency, rate or extent of the covalent alteration of one or more amino acid residues within a protein."" [GOC:mah, GOC:tb]",637,10,7,21026,0.7,0.01098901098901099,query_1,"['GO:0031399', 'GO:0036211', 'GO:0051247']"
GO:BP,GO:1901990,regulation of mitotic cell cycle phase transition,3.1322897755202967e-06,True,"""Any process that modulates the frequency, rate or extent of mitotic cell cycle phase transition."" [GOC:mtg_cell_cycle, GOC:TermGenie, PMID:22841721]",327,10,6,21026,0.6,0.01834862385321101,query_1,"['GO:0007346', 'GO:0044772', 'GO:1901987']"
GO:MF,GO:0042802,identical protein binding,3.152017053231876e-06,True,"""Binding to an identical protein or proteins."" [GOC:jl]",2182,10,9,20246,0.9,0.004124656278643446,query_1,['GO:0005515']
KEGG,KEGG:05166,Human T-cell leukemia virus 1 infection,3.1781834725600278e-06,True,Human T-cell leukemia virus 1 infection,218,10,6,8484,0.6,0.027522935779816515,query_1,['KEGG:00000']
GO:BP,GO:0051246,regulation of protein metabolic process,3.4066316168153315e-06,True,"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving a protein."" [GOC:ai]",1855,10,9,21026,0.9,0.004851752021563342,query_1,"['GO:0019538', 'GO:0060255', 'GO:0080090']"
GO:BP,GO:0009628,response to abiotic stimulus,3.558292314404498e-06,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an abiotic (not derived from living organisms) stimulus."" [GOC:hb]",1144,10,8,21026,0.8,0.006993006993006993,query_1,['GO:0050896']
GO:BP,GO:0035556,intracellular signal transduction,3.5687257822839296e-06,True,"""The process in which a signal is passed on to downstream components within the cell, which become activated themselves to further propagate the signal and finally trigger a change in the function or state of the cell."" [GOC:bf, GOC:jl, GOC:signaling, ISBN:3527303782]",2965,10,10,21026,1.0,0.003372681281618887,query_1,['GO:0007165']
GO:BP,GO:0072359,circulatory system development,3.58301049580204e-06,True,"""The process whose specific outcome is the progression of the circulatory system over time, from its formation to the mature structure. The circulatory system is the organ system that passes nutrients (such as amino acids and electrolytes), gases, hormones, blood cells, etc. to and from cells in the body to help fight diseases and help stabilize body temperature and pH to maintain homeostasis."" [GOC:mah, UBERON:0001009]",1145,10,8,21026,0.8,0.0069868995633187774,query_1,['GO:0048731']
GO:BP,GO:0104004,cellular response to environmental stimulus,3.887100860332993e-06,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an environmental stimulus."" [GOC:dos]",339,10,6,21026,0.6,0.017699115044247787,query_1,['GO:0051716']
GO:BP,GO:0071214,cellular response to abiotic stimulus,3.887100860332993e-06,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an abiotic (non-living) stimulus."" [GOC:mah]",339,10,6,21026,0.6,0.017699115044247787,query_1,"['GO:0009628', 'GO:0104004']"
GO:BP,GO:0141124,intracellular signaling cassette,4.463960888216811e-06,True,"""An intracellular signaling module that is part of larger signaling pathways that can be initiated either intracellularly or by cell surface receptors. Intracellular signaling cassettes are discrete signaling units that are often shared by multiple signaling pathways."" [GOC:ha, GOC:pg]",1912,10,9,21026,0.9,0.004707112970711297,query_1,['GO:0035556']
KEGG,KEGG:04066,HIF-1 signaling pathway,4.689753457896997e-06,True,HIF-1 signaling pathway,109,10,5,8484,0.5,0.045871559633027525,query_1,['KEGG:00000']
GO:BP,GO:0006915,apoptotic process,4.698584922127677e-06,True,"""A programmed cell death process which begins when a cell receives an internal (e.g. DNA damage) or external signal (e.g. an extracellular death ligand), and proceeds through a series of biochemical events (signaling pathway phase) which trigger an execution phase. The execution phase is the last step of an apoptotic process, and is typically characterized by rounding-up of the cell, retraction of pseudopodes, reduction of cellular volume (pyknosis), chromatin condensation, nuclear fragmentation (karyorrhexis), plasma membrane blebbing and fragmentation of the cell into apoptotic bodies. When the execution phase is completed, the cell has died."" [GOC:cjm, GOC:dhl, GOC:ecd, GOC:go_curators, GOC:mtg_apoptosis, GOC:tb, ISBN:0198506732, PMID:18846107, PMID:21494263]",1923,10,9,21026,0.9,0.0046801872074883,query_1,['GO:0012501']
GO:BP,GO:0036294,cellular response to decreased oxygen levels,4.757546885294532e-06,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus reflecting a decline in the level of oxygen."" [GOC:al]",149,10,5,21026,0.5,0.03355704697986577,query_1,"['GO:0036293', 'GO:0071453']"
GO:BP,GO:0042063,gliogenesis,4.869315160629946e-06,True,"""The process that results in the generation of glial cells. This includes the production of glial progenitors and their differentiation into mature glia."" [GOC:dgh, GOC:jid]",352,10,6,21026,0.6,0.017045454545454544,query_1,['GO:0022008']
GO:BP,GO:2000045,regulation of G1/S transition of mitotic cell cycle,4.920619741680551e-06,True,"""Any signaling pathway that modulates the activity of a cell cycle cyclin-dependent protein kinase to modulate the switch from G1 phase to S phase of the mitotic cell cycle."" [GOC:mtg_cell_cycle]",150,10,5,21026,0.5,0.03333333333333333,query_1,"['GO:0000082', 'GO:1901990', 'GO:1902806']"
REAC,REAC:R-HSA-5663202,Diseases of signal transduction by growth factor receptors and second messengers,4.931829285944457e-06,True,Diseases of signal transduction by growth factor receptors and second messengers,444,10,7,11004,0.7,0.015765765765765764,query_1,['REAC:R-HSA-1643685']
GO:BP,GO:1902531,regulation of intracellular signal transduction,5.394991987545321e-06,True,"""Any process that modulates the frequency, rate or extent of intracellular signal transduction."" [GOC:dph, GOC:signaling, GOC:tb, GOC:TermGenie]",1953,10,9,21026,0.9,0.004608294930875576,query_1,"['GO:0009966', 'GO:0035556']"
REAC,REAC:R-HSA-6804757,Regulation of TP53 Degradation,5.488387204389023e-06,True,Regulation of TP53 Degradation,36,10,4,11004,0.4,0.1111111111111111,query_1,['REAC:R-HSA-6806003']
REAC,REAC:R-HSA-6806003,Regulation of TP53 Expression and Degradation,6.150956081481477e-06,True,Regulation of TP53 Expression and Degradation,37,10,4,11004,0.4,0.10810810810810811,query_1,['REAC:R-HSA-5633007']
GO:BP,GO:0006468,protein phosphorylation,6.195914615025484e-06,True,"""The process of introducing a phosphate group on to a protein."" [GOC:hb]",1227,10,8,21026,0.8,0.006519967400162999,query_1,"['GO:0016310', 'GO:0036211']"
GO:BP,GO:0012501,programmed cell death,6.293590948507248e-06,True,"""A process which begins when a cell receives an internal or external signal and activates a series of biochemical events (signaling pathway). The process ends with the death of the cell."" [GOC:lr, GOC:mtg_apoptosis]",1987,10,9,21026,0.9,0.004529441368897836,query_1,['GO:0008219']
GO:BP,GO:0008219,cell death,6.407573845055151e-06,True,"""Any biological process that results in permanent cessation of all vital functions of a cell. A cell should be considered dead when any one of the following molecular or morphological criteria is met: (1) the cell has lost the integrity of its plasma membrane; (2) the cell, including its nucleus, has undergone complete fragmentation into discrete bodies (frequently referred to as apoptotic bodies). The cell corpse (or its fragments) may be engulfed by an adjacent cell in vivo, but engulfment of whole cells should not be considered a strict criteria to define cell death as, under some circumstances, live engulfed cells can be released from phagosomes (see PMID:18045538)."" [GOC:mah, GOC:mtg_apoptosis, PMID:25236395]",1991,10,9,21026,0.9,0.0045203415369161224,query_1,['GO:0009987']
GO:BP,GO:0060429,epithelium development,6.6493110551090275e-06,True,"""The process whose specific outcome is the progression of an epithelium over time, from its formation to the mature structure. An epithelium is a tissue that covers the internal or external surfaces of an anatomical structure."" [GOC:dph, GOC:mtg_lung]",1238,10,8,21026,0.8,0.006462035541195477,query_1,['GO:0009888']
GO:BP,GO:0010564,regulation of cell cycle process,6.8423125843092285e-06,True,"""Any process that modulates a cellular process that is involved in the progression of biochemical and morphological phases and events that occur in a cell during successive cell replication or nuclear replication events."" [GOC:dph, GOC:tb]",720,10,7,21026,0.7,0.009722222222222222,query_1,"['GO:0022402', 'GO:0051726']"
REAC,REAC:R-HSA-1257604,PIP3 activates AKT signaling,7.263674824248093e-06,True,PIP3 activates AKT signaling,252,10,6,11004,0.6,0.023809523809523808,query_1,['REAC:R-HSA-9006925']
GO:BP,GO:0045935,positive regulation of nucleobase-containing compound metabolic process,7.821874080658295e-06,True,"""Any cellular process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving nucleobases, nucleosides, nucleotides and nucleic acids."" [GOC:go_curators]",2036,10,9,21026,0.9,0.0044204322200392925,query_1,"['GO:0006139', 'GO:0009893', 'GO:0019219']"
REAC,REAC:R-HSA-2262752,Cellular responses to stress,7.864014168651198e-06,True,Cellular responses to stress,796,10,8,11004,0.8,0.010050251256281407,query_1,['REAC:R-HSA-8953897']
KEGG,KEGG:04919,Thyroid hormone signaling pathway,7.932608623878598e-06,True,Thyroid hormone signaling pathway,121,10,5,8484,0.5,0.04132231404958678,query_1,['KEGG:00000']
GO:BP,GO:0071453,cellular response to oxygen levels,7.950022483631923e-06,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus reflecting the presence, absence, or concentration of oxygen."" [GOC:mah]",165,10,5,21026,0.5,0.030303030303030304,query_1,"['GO:0070482', 'GO:0070887']"
GO:BP,GO:1903047,mitotic cell cycle process,8.669621538659783e-06,True,"""A process that is part of the mitotic cell cycle."" [GO_REF:0000060, GOC:mtg_cell_cycle, GOC:TermGenie]",745,10,7,21026,0.7,0.009395973154362415,query_1,"['GO:0000278', 'GO:0022402']"
REAC,REAC:R-HSA-8953897,Cellular responses to stimuli,9.024766963951342e-06,True,Cellular responses to stimuli,810,10,8,11004,0.8,0.009876543209876543,query_1,['REAC:0000000']
GO:BP,GO:0010604,positive regulation of macromolecule metabolic process,1.005155174780518e-05,True,"""Any process that increases the frequency, rate or extent of the chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:dph, GOC:tb]",3288,10,10,21026,1.0,0.0030413625304136255,query_1,"['GO:0009893', 'GO:0043170', 'GO:0060255']"
GO:BP,GO:1902806,regulation of cell cycle G1/S phase transition,1.0995983018950566e-05,True,"""Any signaling pathway that modulates the activity of a cell cycle cyclin-dependent protein kinase to modulate the switch from G1 phase to S phase of the cell cycle."" [GO_REF:0000058, GOC:mtg_cell_cycle, GOC:TermGenie]",176,10,5,21026,0.5,0.028409090909090908,query_1,"['GO:0044843', 'GO:1901987']"
GO:BP,GO:0016310,phosphorylation,1.1041663923007998e-05,True,"""The process of introducing a phosphate group into a molecule, usually with the formation of a phosphoric ester, a phosphoric anhydride or a phosphoric amide."" [ISBN:0198506732]",1320,10,8,21026,0.8,0.006060606060606061,query_1,['GO:0006796']
GO:BP,GO:0001558,regulation of cell growth,1.1428074464536362e-05,True,"""Any process that modulates the frequency, rate, extent or direction of cell growth."" [GOC:go_curators]",406,10,6,21026,0.6,0.014778325123152709,query_1,"['GO:0016049', 'GO:0040008', 'GO:0051128']"
GO:BP,GO:0001932,regulation of protein phosphorylation,1.1811466499250605e-05,True,"""Any process that modulates the frequency, rate or extent of addition of phosphate groups into an amino acid in a protein."" [GOC:hjd]",779,10,7,21026,0.7,0.008985879332477536,query_1,"['GO:0006468', 'GO:0031399', 'GO:0042325']"
KEGG,KEGG:04068,FoxO signaling pathway,1.181667677486292e-05,True,FoxO signaling pathway,131,10,5,8484,0.5,0.03816793893129771,query_1,['KEGG:00000']
GO:BP,GO:0006355,regulation of DNA-templated transcription,1.4434322614395135e-05,True,"""Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."" [GOC:go_curators, GOC:txnOH]",3409,10,10,21026,1.0,0.002933411557641537,query_1,"['GO:0006351', 'GO:0010468', 'GO:2001141']"
GO:BP,GO:0070887,cellular response to chemical stimulus,1.5108978981078402e-05,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chemical stimulus."" [GOC:mah]",2192,10,9,21026,0.9,0.004105839416058394,query_1,"['GO:0042221', 'GO:0051716']"
GO:BP,GO:2001141,regulation of RNA biosynthetic process,1.5260415616683453e-05,True,"""Any process that modulates the frequency, rate or extent of RNA biosynthetic process."" [GOC:dph]",3428,10,10,21026,1.0,0.0029171528588098016,query_1,"['GO:0010556', 'GO:0032774', 'GO:0051252']"
GO:BP,GO:1901987,regulation of cell cycle phase transition,1.544076722771608e-05,True,"""Any process that modulates the frequency, rate or extent of cell cycle phase transition."" [GOC:mtg_cell_cycle, GOC:TermGenie, PMID:22841721]",427,10,6,21026,0.6,0.01405152224824356,query_1,"['GO:0010564', 'GO:0044770']"
GO:BP,GO:0080134,regulation of response to stress,1.632652499181064e-05,True,"""Any process that modulates the frequency, rate or extent of a response to stress. Response to stress is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:dhl]",1387,10,8,21026,0.8,0.005767844268204758,query_1,"['GO:0006950', 'GO:0048583']"
REAC,REAC:R-HSA-9006925,Intracellular signaling by second messengers,1.750317460384355e-05,True,Intracellular signaling by second messengers,292,10,6,11004,0.6,0.02054794520547945,query_1,['REAC:R-HSA-162582']
GO:BP,GO:0042325,regulation of phosphorylation,1.8321184456630034e-05,True,"""Any process that modulates the frequency, rate or extent of addition of phosphate groups into a molecule."" [GOC:jl]",830,10,7,21026,0.7,0.008433734939759036,query_1,"['GO:0016310', 'GO:0019220']"
REAC,REAC:R-HSA-6807070,PTEN Regulation,1.899045369744331e-05,True,PTEN Regulation,138,10,5,11004,0.5,0.036231884057971016,query_1,['REAC:R-HSA-1257604']
GO:BP,GO:2000026,regulation of multicellular organismal development,1.9439053836182645e-05,True,"""Any process that modulates the frequency, rate or extent of multicellular organismal development."" [GOC:obol]",1418,10,8,21026,0.8,0.005641748942172073,query_1,"['GO:0007275', 'GO:0050793', 'GO:0051239']"
GO:BP,GO:0060284,regulation of cell development,2.107940982531344e-05,True,"""Any process that modulates the rate, frequency or extent of the progression of the cell over time, from its formation to the mature structure. Cell development does not include the steps involved in committing a cell to a specific fate."" [GOC:dph, GOC:tb]",847,10,7,21026,0.7,0.008264462809917356,query_1,"['GO:0045595', 'GO:0048468']"
GO:BP,GO:0006351,DNA-templated transcription,2.1597970775790514e-05,True,"""The synthesis of an RNA transcript from a DNA template."" [GOC:jl, GOC:txnOH]",3549,10,10,21026,1.0,0.002817695125387433,query_1,"['GO:0010467', 'GO:0032774']"
KEGG,KEGG:04010,MAPK signaling pathway,2.169014957168184e-05,True,MAPK signaling pathway,301,10,6,8484,0.6,0.019933554817275746,query_1,['KEGG:00000']
GO:BP,GO:0051960,regulation of nervous system development,2.3144483336750015e-05,True,"""Any process that modulates the frequency, rate or extent of nervous system development, the origin and formation of nervous tissue."" [GOC:ai]",457,10,6,21026,0.6,0.01312910284463895,query_1,"['GO:0007399', 'GO:2000026']"
GO:BP,GO:0009893,positive regulation of metabolic process,2.470762198559397e-05,True,"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism."" [GOC:go_curators]",3597,10,10,21026,1.0,0.0027800945232137894,query_1,"['GO:0008152', 'GO:0019222', 'GO:0048522']"
GO:BP,GO:0048584,positive regulation of response to stimulus,2.612859053157276e-05,True,"""Any process that activates, maintains or increases the rate of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."" [GOC:jid]",2331,10,9,21026,0.9,0.003861003861003861,query_1,"['GO:0048518', 'GO:0048583', 'GO:0050896']"
GO:BP,GO:0043066,negative regulation of apoptotic process,2.6186191589683185e-05,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of cell death by apoptotic process."" [GOC:jl, GOC:mtg_apoptosis]",874,10,7,21026,0.7,0.008009153318077803,query_1,"['GO:0006915', 'GO:0042981', 'GO:0043069']"
GO:BP,GO:0009719,response to endogenous stimulus,2.8579694045874688e-05,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus arising within the organism."" [GOC:sm]",1489,10,8,21026,0.8,0.005372733378106112,query_1,['GO:0050896']
GO:BP,GO:0000278,mitotic cell cycle,3.0147124806297232e-05,True,"""Progression through the phases of the mitotic cell cycle, the most common eukaryotic cell cycle, which canonically comprises four successive phases called G1, S, G2, and M and includes replication of the genome and the subsequent segregation of chromosomes into daughter cells. In some variant cell cycles nuclear replication or nuclear division may not be followed by cell division, or G1 and G2 phases may be absent."" [GOC:mah, ISBN:0815316194]",892,10,7,21026,0.7,0.007847533632286996,query_1,['GO:0007049']
GO:BP,GO:0051252,regulation of RNA metabolic process,3.1643958212268505e-05,True,"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving RNA."" [GOC:ai]",3687,10,10,21026,1.0,0.0027122321670735015,query_1,"['GO:0016070', 'GO:0019219', 'GO:0060255']"
GO:BP,GO:0001934,positive regulation of protein phosphorylation,3.2175947782155475e-05,True,"""Any process that activates or increases the frequency, rate or extent of addition of phosphate groups to amino acids within a protein."" [GOC:hjd]",483,10,6,21026,0.6,0.012422360248447204,query_1,"['GO:0001932', 'GO:0006468', 'GO:0031401', 'GO:0042327']"
GO:BP,GO:0016049,cell growth,3.297696789267939e-05,True,"""The process in which a cell irreversibly increases in size over time by accretion and biosynthetic production of matter similar to that already present."" [GOC:ai]",485,10,6,21026,0.6,0.012371134020618556,query_1,"['GO:0009987', 'GO:0040007']"
GO:BP,GO:0043069,negative regulation of programmed cell death,3.33156422705034e-05,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of programmed cell death, cell death resulting from activation of endogenous cellular processes."" [GOC:jl]",905,10,7,21026,0.7,0.0077348066298342545,query_1,"['GO:0012501', 'GO:0043067', 'GO:0048523']"
GO:MF,GO:0140096,"catalytic activity, acting on a protein",3.375273749083891e-05,True,"""Catalytic activity that acts to modify a protein."" [GOC:molecular_function_refactoring, GOC:pdt]",2849,10,9,20246,0.9,0.003159003159003159,query_1,['GO:0003824']
GO:BP,GO:0006974,DNA damage response,3.408581624898034e-05,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating damage to its DNA from environmental insults or errors during metabolism."" [GOC:go_curators]",908,10,7,21026,0.7,0.007709251101321586,query_1,['GO:0033554']
