term_name,p_value,z_score,combined_score,overlapping_genes,p_adj,lib
Positive Regulation Of Epithelial Cell Proliferation (GO:0050679),2.7796047002434663e-07,111.32212885154061,1680.4951374611564,"['MYC', 'AKT1', 'EGFR', 'VEGFA']",1.3185749796779943e-05,GO_Biological_Process_2023
Regulation Of Apoptotic Process (GO:0042981),3.494499409881334e-07,41.396995708154506,615.445223835002,"['MYC', 'AKT1', 'TP53', 'EGFR', 'MTOR', 'VEGFA']",1.509755556965195e-05,GO_Biological_Process_2023
Positive Regulation Of DNA-templated Transcription (GO:0045893),3.580447961182281e-07,35.403991370010786,525.4875559655075,"['MYC', 'AKT1', 'BRCA1', 'TP53', 'EGFR', 'MTOR', 'VEGFA']",1.509755556965195e-05,GO_Biological_Process_2023
Positive Regulation Of Protein Phosphorylation (GO:0001934),5.403348195953877e-07,52.736559139784944,761.0453379218529,"['AKT1', 'MAPK1', 'TP53', 'EGFR', 'VEGFA']",2.1584954109099963e-05,GO_Biological_Process_2023
Cellular Response To Oxygen-Containing Compound (GO:1901701),7.793904868061958e-07,48.85037406483791,687.0684769277843,"['CDK2', 'AKT1', 'MAPK1', 'EGFR', 'MTOR']",2.9577868974295134e-05,GO_Biological_Process_2023
Positive Regulation Of miRNA Transcription (GO:1902895),1.0991462695677833e-06,213.75,2932.858790587599,"['MYC', 'TP53', 'EGFR']",3.9726286600092744e-05,GO_Biological_Process_2023
Regulation Of Telomerase Activity (GO:0051972),1.2631648684453105e-06,203.55102040816325,2764.607606420819,"['MYC', 'MAPK1', 'TP53']",4.3579187961363214e-05,GO_Biological_Process_2023
Positive Regulation Of miRNA Metabolic Process (GO:2000630),1.6383490128377575e-06,185.8136645962733,2475.376476226603,"['MYC', 'TP53', 'EGFR']",5.4065517423645994e-05,GO_Biological_Process_2023
Regulation Of Stress-Activated MAPK Cascade (GO:0032872),1.8508868377139068e-06,178.05357142857142,2350.2796624248076,"['MYC', 'MAPK1', 'EGFR']",5.8534296242702304e-05,GO_Biological_Process_2023
Protein Phosphorylation (GO:0006468),2.1744773035815724e-06,39.38383838383838,513.5149295302815,"['CDK2', 'AKT1', 'MAPK1', 'EGFR', 'MTOR']",6.09404152103164e-05,GO_Biological_Process_2023
ERBB Signaling Pathway (GO:0038127),2.202799850344505e-06,167.5546218487395,2182.529867964198,"['AKT1', 'MAPK1', 'EGFR']",6.09404152103164e-05,GO_Biological_Process_2023
Regulation Of Nitric Oxide Mediated Signal Transduction (GO:0010749),2.2481312594056116e-06,1665.5833333333333,21661.596201528788,"['EGFR', 'VEGFA']",6.09404152103164e-05,GO_Biological_Process_2023
Regulation Of Pentose-Phosphate Shunt (GO:0043456),2.2481312594056116e-06,1665.5833333333333,21661.596201528788,"['TP53', 'MTOR']",6.09404152103164e-05,GO_Biological_Process_2023
Mitotic DNA Damage Checkpoint Signaling (GO:0044773),2.460474105043204e-06,161.2156334231806,2082.1251360620786,"['CDK2', 'BRCA1', 'TP53']",6.439654640440662e-05,GO_Biological_Process_2023
Regulation Of miRNA Transcription (GO:1902893),2.8832845283701587e-06,152.55612244897958,1946.0944495279173,"['MYC', 'TP53', 'EGFR']",7.294709856776501e-05,GO_Biological_Process_2023
Positive Regulation Of Nucleic Acid-Templated Transcription (GO:1903508),3.6933234134143317e-06,35.21376811594203,440.48845670276614,"['MYC', 'AKT1', 'BRCA1', 'TP53', 'EGFR']",9.04268538961767e-05,GO_Biological_Process_2023
Response To Reactive Oxygen Species (GO:0000302),4.0510944277424865e-06,135.5578231292517,1683.1568943620798,"['AKT1', 'MAPK1', 'EGFR']",9.60868959580171e-05,GO_Biological_Process_2023
"Regulation Of Wound Healing, Spreading Of Epidermal Cells (GO:1903689)",4.71859981396871e-06,999.25,12254.800453119933,"['PTEN', 'MTOR']",0.00010852779572128033,GO_Biological_Process_2023
Response To Ionizing Radiation (GO:0010212),5.2715714896058275e-06,123.73291925465838,1503.7486925982037,"['MYC', 'BRCA1', 'TP53']",0.00011768008119443598,GO_Biological_Process_2023
Cellular Response To Reactive Oxygen Species (GO:0034614),5.496053063731222e-06,121.95918367346938,1477.1062563337264,"['AKT1', 'MAPK1', 'EGFR']",0.00011918583643919993,GO_Biological_Process_2023
Regulation Of Protein Phosphorylation (GO:0001932),5.942658201612567e-06,50.393358876117496,606.4011274118033,"['PTEN', 'AKT1', 'EGFR', 'VEGFA']",0.00012529104375066493,GO_Biological_Process_2023
Regulation Of Cyclin-Dependent Protein Serine/Threonine Kinase Activity (GO:0000079),6.976947973800037e-06,112.296992481203,1333.2908485932933,"['PTEN', 'AKT1', 'EGFR']",0.00014312171654362778,GO_Biological_Process_2023
Positive Regulation Of Growth (GO:0045927),7.5236237407872565e-06,109.4065934065934,1290.7201999957067,"['AKT1', 'EGFR', 'MTOR']",0.00015027448471730337,GO_Biological_Process_2023
Transmembrane Receptor Protein Tyrosine Kinase Signaling Pathway (GO:0007169),7.815151928496338e-06,46.92857142857143,551.854008782157,"['AKT1', 'MAPK1', 'EGFR', 'VEGFA']",0.00015209487983919794,GO_Biological_Process_2023
Regulation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process (GO:0043281),8.395644095113353e-06,105.33862433862434,1231.1765151197649,"['MYC', 'AKT1', 'VEGFA']",0.0001593073467047759,GO_Biological_Process_2023
Positive Regulation Of Peptidyl-Serine Phosphorylation (GO:0033138),9.993193903059505e-06,99.18936877076412,1142.027341805338,"['AKT1', 'EGFR', 'VEGFA']",0.00018242602512773335,GO_Biological_Process_2023
Mitotic G1/S Transition Checkpoint Signaling (GO:0044819),1.0103284265653993e-05,624.4375,7182.686016966727,"['CDK2', 'TP53']",0.00018242602512773335,GO_Biological_Process_2023
Regulation Of Peptidyl-Tyrosine Phosphorylation (GO:0050730),1.0335071252295829e-05,98.04433497536945,1125.5457761921666,"['TP53', 'EGFR', 'VEGFA']",0.00018242602512773335,GO_Biological_Process_2023
Regulation Of Epithelial Cell Proliferation (GO:0050678),1.0684595726214579e-05,96.92532467532467,1109.475841438554,"['MYC', 'EGFR', 'VEGFA']",0.0001843092762772015,GO_Biological_Process_2023
Protein Modification Process (GO:0036211),1.2159736228797002e-05,27.31444759206799,309.1279930879764,"['CDK2', 'PTEN', 'AKT1', 'MAPK1', 'MTOR']",0.0001993617170191423,GO_Biological_Process_2023
Positive Regulation Of Epithelial Cell Migration (GO:0010634),1.2160799912938939e-05,92.69254658385093,1049.0286994545884,"['AKT1', 'MTOR', 'VEGFA']",0.0001993617170191423,GO_Biological_Process_2023
Regulation Of Keratinocyte Migration (GO:0051547),1.234519196297719e-05,555.0277777777778,6273.059307633597,"['PTEN', 'MTOR']",0.0001993617170191423,GO_Biological_Process_2023
Response To UV (GO:0009411),1.4187907246385926e-05,87.89248895434463,981.1544503878058,"['MYC', 'TP53', 'EGFR']",0.00022434628333347744,GO_Biological_Process_2023
Regulation Of G1/S Transition Of Mitotic Cell Cycle (GO:2000045),1.690054201770089e-05,82.74757281553399,909.2439722339944,"['PTEN', 'AKT1', 'EGFR']",0.0002565502278286995,GO_Biological_Process_2023
Positive Regulation Of Cell Growth (GO:0030307),1.690054201770089e-05,82.74757281553399,909.2439722339944,"['AKT1', 'EGFR', 'MTOR']",0.0002565502278286995,GO_Biological_Process_2023
Positive Regulation Of DNA Metabolic Process (GO:0051054),1.7875458122855736e-05,81.16326530612245,887.2834587656572,"['MYC', 'BRCA1', 'EGFR']",0.0002660288767695589,GO_Biological_Process_2023
Positive Regulation Of Protein Serine/Threonine Kinase Activity (GO:0071902),2.272258390640195e-05,74.7218045112782,798.936834932397,"['AKT1', 'EGFR', 'VEGFA']",0.0003316623304799823,GO_Biological_Process_2023
Positive Regulation Of Cyclin-Dependent Protein Serine/Threonine Kinase Activity (GO:0045737),2.354311916028365e-05,384.1730769230769,4094.008377584964,"['AKT1', 'EGFR']",0.0003360086345847562,GO_Biological_Process_2023
Cellular Response To Tumor Necrosis Factor (GO:0071356),2.3905752658204e-05,73.42610837438424,781.3559604663873,"['AKT1', 'BRCA1', 'TP53']",0.0003360086345847562,GO_Biological_Process_2023
DNA Damage Response (GO:0006974),2.5636884661518025e-05,34.40350877192982,363.6959511174,"['MYC', 'BRCA1', 'TP53', 'MTOR']",0.0003537890083289488,GO_Biological_Process_2023
Cellular Response To Starvation (GO:0009267),2.836548419867292e-05,69.22299651567944,724.7881360759386,"['MAPK1', 'TP53', 'MTOR']",0.00038445361619272763,GO_Biological_Process_2023
Negative Regulation Of Fibroblast Proliferation (GO:0048147),3.047775949307404e-05,332.9166666666667,3461.8383985403652,"['MYC', 'TP53']",0.0003920782958515796,GO_Biological_Process_2023
Positive Regulation Of Transcription From RNA Polymerase II Promoter In Response To Stress (GO:0036003),3.047775949307404e-05,332.9166666666667,3461.8383985403652,"['TP53', 'VEGFA']",0.0003920782958515796,GO_Biological_Process_2023
Cell Migration Involved In Sprouting Angiogenesis (GO:0002042),3.047775949307404e-05,332.9166666666667,3461.8383985403652,"['AKT1', 'VEGFA']",0.0003920782958515796,GO_Biological_Process_2023
Positive Regulation Of Cyclin-Dependent Protein Kinase Activity (GO:1904031),3.427837406961788e-05,312.09375,3208.634562990342,"['AKT1', 'EGFR']",0.00042651288391540933,GO_Biological_Process_2023
Regulation Of Cell Cycle G2/M Phase Transition (GO:1902749),3.427837406961788e-05,312.09375,3208.634562990342,"['CDK2', 'TP53']",0.00042651288391540933,GO_Biological_Process_2023
Cellular Response To Metal Ion (GO:0071248),3.486180000022814e-05,64.47402597402598,661.7690675331174,"['AKT1', 'MAPK1', 'EGFR']",0.0004267759064544058,GO_Biological_Process_2023
Phosphorylation (GO:0016310),3.956720031304179e-05,30.690196078431374,311.122171422064,"['CDK2', 'AKT1', 'MAPK1', 'MTOR']",0.0004766905561523606,GO_Biological_Process_2023
Positive Regulation Of Transferase Activity (GO:0051347),4.139889617122962e-05,60.765306122448976,613.2590459674897,"['MYC', 'MAPK1', 'EGFR']",0.0004834322536160389,GO_Biological_Process_2023
Regulation Of Cell Migration (GO:0030334),4.140065413049082e-05,30.325581395348838,306.05225338636683,"['PTEN', 'AKT1', 'EGFR', 'VEGFA']",0.0004834322536160389,GO_Biological_Process_2023
Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944),4.6440593830542725e-05,20.425509110396572,203.79217991017387,"['MYC', 'BRCA1', 'TP53', 'EGFR', 'VEGFA']",0.0005325603435975014,GO_Biological_Process_2023
Response To Cadmium Ion (GO:0046686),4.701125562718392e-05,262.7763157894737,2618.5984406357375,"['MAPK1', 'EGFR']",0.0005325603435975014,GO_Biological_Process_2023
Blood Vessel Endothelial Cell Migration (GO:0043534),5.1698634856081705e-05,249.625,2463.8185157826147,"['AKT1', 'VEGFA']",0.0005686849834168988,GO_Biological_Process_2023
Response To Gamma Radiation (GO:0010332),5.1698634856081705e-05,249.625,2463.8185157826147,"['MYC', 'TP53']",0.0005686849834168988,GO_Biological_Process_2023
Cellular Response To Growth Factor Stimulus (GO:0071363),5.264016226955635e-05,55.93421052631579,551.065586599522,"['AKT1', 'EGFR', 'VEGFA']",0.0005707697594656182,GO_Biological_Process_2023
Peptidyl-Serine Phosphorylation (GO:0018105),5.573290234723056e-05,54.84331797235023,537.1870023049237,"['CDK2', 'MAPK1', 'MTOR']",0.0005957925757964506,GO_Biological_Process_2023
Protein Autophosphorylation (GO:0046777),6.003904210227032e-05,53.45283018867924,519.5890646700522,"['AKT1', 'EGFR', 'MTOR']",0.000624777966645854,GO_Biological_Process_2023
ERK1 And ERK2 Cascade (GO:0070371),6.173695322587491e-05,226.9090909090909,2199.345382715804,"['MYC', 'MAPK1']",0.000624777966645854,GO_Biological_Process_2023
Positive Regulation Of Lipid Metabolic Process (GO:0045834),6.173695322587491e-05,226.9090909090909,2199.345382715804,"['AKT1', 'MTOR']",0.000624777966645854,GO_Biological_Process_2023
Protein Kinase B Signaling (GO:0043491),6.173695322587491e-05,226.9090909090909,2199.345382715804,"['PTEN', 'AKT1']",0.000624777966645854,GO_Biological_Process_2023
Peptidyl-Serine Modification (GO:0018209),6.455817881760927e-05,52.13058720420683,502.95297266417015,"['CDK2', 'MAPK1', 'MTOR']",0.0006447323384548083,GO_Biological_Process_2023
Regulation Of Cell Size (GO:0008361),6.70875366203682e-05,217.0326086956522,2085.577517249696,"['PTEN', 'MTOR']",0.0006612914324007722,GO_Biological_Process_2023
Mitotic G1 DNA Damage Checkpoint Signaling (GO:0031571),7.265883245949173e-05,207.97916666666666,1981.9864686095777,"['CDK2', 'TP53']",0.0006980766308449901,GO_Biological_Process_2023
Cellular Response To Xenobiotic Stimulus (GO:0071466),7.265883245949173e-05,207.97916666666666,1981.9864686095777,"['MYC', 'TP53']",0.0006980766308449901,GO_Biological_Process_2023
Cellular Response To Acid Chemical (GO:0071229),7.845066309954509e-05,199.65,1887.2995610426372,"['MTOR', 'VEGFA']",0.0007443006661569341,GO_Biological_Process_2023
Regulation Of Nitric-Oxide Synthase Activity (GO:0050999),8.446285096382201e-05,191.96153846153845,1800.4454223222408,"['AKT1', 'EGFR']",0.0007914481960684062,GO_Biological_Process_2023
Negative Regulation Of Cellular Process (GO:0048523),9.488597818217565e-05,24.3364602876798,225.4246068049853,"['MYC', 'PTEN', 'BRCA1', 'TP53']",0.0008782738712228209,GO_Biological_Process_2023
Response To Epidermal Growth Factor (GO:0070849),9.714758850353401e-05,178.23214285714286,1646.7365311362207,"['MAPK1', 'EGFR']",0.0008883737310142448,GO_Biological_Process_2023
Positive Regulation Of G1/S Transition Of Mitotic Cell Cycle (GO:1900087),0.00010381978350160118,172.07758620689654,1578.4425771666922,"['AKT1', 'EGFR']",0.0009380859009251822,GO_Biological_Process_2023
Positive Regulation Of Small Molecule Metabolic Process (GO:0062013),0.00011782293987729035,160.95967741935485,1456.0939674817116,"['AKT1', 'MTOR']",0.0010398559461263183,GO_Biological_Process_2023
Positive Regulation Of Telomerase Activity (GO:0051973),0.00011782293987729035,160.95967741935485,1456.0939674817116,"['MYC', 'MAPK1']",0.0010398559461263183,GO_Biological_Process_2023
Regulation Of Cellular Senescence (GO:2000772),0.00013270327104745935,151.18939393939394,1349.7274345163214,"['PTEN', 'TP53']",0.00115772164051749,GO_Biological_Process_2023
Positive Regulation Of Protein Modification Process (GO:0031401),0.00015903665127190174,38.16216216216216,333.78061432656835,"['AKT1', 'EGFR', 'VEGFA']",0.0013716911172201524,GO_Biological_Process_2023
Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244),0.00016508979842508767,134.81756756756758,1174.129027010432,"['MYC', 'TP53']",0.0013947185022306335,GO_Biological_Process_2023
Apoptotic Process (GO:0006915),0.00016538164058070752,37.647619047619045,327.8074109702049,"['MYC', 'AKT1', 'MTOR']",0.0013947185022306335,GO_Biological_Process_2023
Positive Regulation Of Phosphorylation (GO:0042327),0.00017188966092611182,37.14661654135338,322.0113069739806,"['AKT1', 'EGFR', 'VEGFA']",0.0014178810040238379,GO_Biological_Process_2023
Positive Regulation Of Cell Cycle G1/S Phase Transition (GO:1902808),0.00017373245503849396,131.26315789473685,1136.4756409312342,"['AKT1', 'EGFR']",0.0014178810040238379,GO_Biological_Process_2023
Negative Regulation Of Cell-Cell Adhesion (GO:0022408),0.00017373245503849396,131.26315789473685,1136.4756409312342,"['AKT1', 'VEGFA']",0.0014178810040238379,GO_Biological_Process_2023
Response To Amino Acid Starvation (GO:1990928),0.0001825931686229406,127.89102564102564,1100.9179217565816,"['MAPK1', 'MTOR']",0.0014743427126043822,GO_Biological_Process_2023
Branching Morphogenesis Of An Epithelial Tube (GO:0048754),0.00019167176285246338,124.6875,1067.2908627311958,"['MYC', 'VEGFA']",0.0015154048750522886,GO_Biological_Process_2023
Cellular Response To Amino Acid Starvation (GO:0034198),0.00019167176285246338,124.6875,1067.2908627311958,"['MAPK1', 'MTOR']",0.0015154048750522886,GO_Biological_Process_2023
Regulation Of Cellular Component Size (GO:0032535),0.0002009680615243086,121.64024390243902,1035.4461013159446,"['PTEN', 'MTOR']",0.0015725232855355693,GO_Biological_Process_2023
Positive Regulation Of DNA-binding Transcription Factor Activity (GO:0051091),0.00020694103581317156,34.82716049382716,295.44147219460575,"['PTEN', 'AKT1', 'VEGFA']",0.001602737205940788,GO_Biological_Process_2023
Positive Regulation Of Biosynthetic Process (GO:0009891),0.00021048188851878632,118.73809523809524,1005.2498881389702,"['AKT1', 'MTOR']",0.0016136944786440284,GO_Biological_Process_2023
Epidermal Growth Factor Receptor Signaling Pathway (GO:0007173),0.00022021306777319987,115.97093023255815,976.5813448480071,"['AKT1', 'EGFR']",0.001671417184398587,GO_Biological_Process_2023
Regulation Of Fibroblast Proliferation (GO:0048145),0.00023016142338620166,113.32954545454545,949.3309641295106,"['MYC', 'TP53']",0.0016960438868944374,GO_Biological_Process_2023
Positive Regulation Of Blood Vessel Endothelial Cell Migration (GO:0043536),0.00023016142338620166,113.32954545454545,949.3309641295106,"['AKT1', 'VEGFA']",0.0016960438868944374,GO_Biological_Process_2023
Negative Regulation Of Cellular Metabolic Process (GO:0031324),0.00023016142338620166,113.32954545454545,949.3309641295106,"['PTEN', 'BRCA1']",0.0016960438868944374,GO_Biological_Process_2023
Cellular Response To Radiation (GO:0071478),0.0002507089602670998,108.3913043478261,898.695913322854,"['BRCA1', 'TP53']",0.0018296932773339304,GO_Biological_Process_2023
Intrinsic Apoptotic Signaling Pathway In Response To DNA Damage (GO:0008630),0.00026130779010617516,106.07978723404256,875.1382563847486,"['BRCA1', 'TP53']",0.0018888820256246375,GO_Biological_Process_2023
Positive Regulation Of Cell Migration (GO:0030335),0.0002781485119252793,31.419543281996813,257.24296645545326,"['EGFR', 'MTOR', 'VEGFA']",0.001989948271156615,GO_Biological_Process_2023
Positive Regulation Of Protein Localization To Cell Periphery (GO:1904377),0.0002831546947100322,101.73979591836735,831.1650111787942,"['AKT1', 'EGFR']",0.001989948271156615,GO_Biological_Process_2023
Positive Regulation Of Protein Localization To Plasma Membrane (GO:1903078),0.0002831546947100322,101.73979591836735,831.1650111787942,"['AKT1', 'EGFR']",0.001989948271156615,GO_Biological_Process_2023
Sprouting Angiogenesis (GO:0002040),0.00029440241859604355,99.7,810.6171266936067,"['AKT1', 'VEGFA']",0.0020130759974270004,GO_Biological_Process_2023
Cell Cycle G1/S Phase Transition (GO:0044843),0.00029440241859604355,99.7,810.6171266936067,"['MYC', 'CDK2']",0.0020130759974270004,GO_Biological_Process_2023
Cellular Response To Ionizing Radiation (GO:0071479),0.00029440241859604355,99.7,810.6171266936067,"['BRCA1', 'TP53']",0.0020130759974270004,GO_Biological_Process_2023
Positive Regulation Of Leukocyte Chemotaxis (GO:0002690),0.0003175455329863666,95.85576923076923,772.1076136521657,"['MAPK1', 'VEGFA']",0.0021141847327776513,GO_Biological_Process_2023
Regulation Of Focal Adhesion Assembly (GO:0051893),0.0003175455329863666,95.85576923076923,772.1076136521657,"['PTEN', 'VEGFA']",0.0021141847327776513,GO_Biological_Process_2023
Regulation Of Blood Vessel Endothelial Cell Migration (GO:0043535),0.0003175455329863666,95.85576923076923,772.1076136521657,"['AKT1', 'VEGFA']",0.0021141847327776513,GO_Biological_Process_2023
Regulation Of Reactive Oxygen Species Metabolic Process (GO:2000377),0.00034155103523569007,92.29629629629629,736.7102780343856,"['BRCA1', 'TP53']",0.002254236832555554,GO_Biological_Process_2023
Regulation Of Cell Cycle (GO:0051726),0.0003636273606924098,28.612590799031477,226.5940064771845,"['MYC', 'BRCA1', 'TP53']",0.0023770162552900196,GO_Biological_Process_2023
Peptidyl-Threonine Phosphorylation (GO:0018107),0.00036641752551901487,88.99107142857143,704.0739609142095,"['AKT1', 'MAPK1']",0.0023770162552900196,GO_Biological_Process_2023
Chordate Embryonic Development (GO:0043009),0.00037917320411508265,87.42543859649123,688.6954184966403,"['BRCA1', 'VEGFA']",0.00243891916884193,GO_Biological_Process_2023
G1/S Transition Of Mitotic Cell Cycle (GO:0000082),0.0004323414002614042,81.67622950819673,632.6881685393935,"['MYC', 'CDK2']",0.0027345593566533814,GO_Biological_Process_2023
Positive Regulation Of Mitotic Cell Cycle Phase Transition (GO:1901992),0.0004323414002614042,81.67622950819673,632.6881685393935,"['AKT1', 'EGFR']",0.0027345593566533814,GO_Biological_Process_2023
Cellular Response To Light Stimulus (GO:0071482),0.00046021034561651085,79.07539682539682,607.6016612487723,"['MYC', 'TP53']",0.0028398345717311523,GO_Biological_Process_2023
Positive Regulation Of DNA Biosynthetic Process (GO:2000573),0.00046021034561651085,79.07539682539682,607.6016612487723,"['MYC', 'MAPK1']",0.0028398345717311523,GO_Biological_Process_2023
Positive Regulation Of Cell Cycle (GO:0045787),0.00046021034561651085,79.07539682539682,607.6016612487723,"['AKT1', 'EGFR']",0.0028398345717311523,GO_Biological_Process_2023
Peptidyl-Threonine Modification (GO:0018210),0.0004744654203814996,77.8359375,595.7034787304551,"['AKT1', 'MAPK1']",0.002904187532819018,GO_Biological_Process_2023
Negative Regulation Of Extrinsic Apoptotic Signaling Pathway (GO:2001237),0.0005336190066674734,73.24264705882354,551.9440230421153,"['AKT1', 'BRCA1']",0.0032401346084848983,GO_Biological_Process_2023
Positive Regulation Of Response To Stimulus (GO:0048584),0.000645324195743907,66.38333333333334,487.6358845330483,"['BRCA1', 'EGFR']",0.0038567012958238226,GO_Biological_Process_2023
Positive Regulation Of Endothelial Cell Proliferation (GO:0001938),0.000645324195743907,66.38333333333334,487.6358845330483,"['AKT1', 'VEGFA']",0.0038567012958238226,GO_Biological_Process_2023
Positive Regulation Of Protein Localization To Membrane (GO:1905477),0.0006791469109190254,64.65259740259741,471.6195624815348,"['AKT1', 'EGFR']",0.003995910894477056,GO_Biological_Process_2023
Cellular Response To UV (GO:0034644),0.0006791469109190254,64.65259740259741,471.6195624815348,"['MYC', 'TP53']",0.003995910894477056,GO_Biological_Process_2023
Negative Regulation Of Protein Serine/Threonine Kinase Activity (GO:0071901),0.0006963752277821239,63.82051282051282,463.9509991068783,"['PTEN', 'AKT1']",0.004034723647989558,GO_Biological_Process_2023
Regulation Of Protein Localization To Plasma Membrane (GO:1903076),0.0006963752277821239,63.82051282051282,463.9509991068783,"['AKT1', 'EGFR']",0.004034723647989558,GO_Biological_Process_2023
Activation Of Protein Kinase Activity (GO:0032147),0.0007138146207120215,63.00949367088607,456.4966782194373,"['MTOR', 'VEGFA']",0.004104434069094123,GO_Biological_Process_2023
Negative Regulation Of Cell Population Proliferation (GO:0008285),0.0007337715762375088,22.356382978723403,161.3530086276007,"['MYC', 'PTEN', 'TP53']",0.004187463356122325,GO_Biological_Process_2023
Regulation Of Epithelial To Mesenchymal Transition (GO:0010717),0.000749325943468871,61.44753086419753,442.19710904457907,"['PTEN', 'MTOR']",0.004244316351439351,GO_Biological_Process_2023
Negative Regulation Of Cell Cycle (GO:0045786),0.0007856794992100311,59.96084337349398,428.6577674110207,"['PTEN', 'BRCA1']",0.004384784852208924,GO_Biological_Process_2023
Positive Regulation Of Endothelial Cell Migration (GO:0010595),0.0007856794992100311,59.96084337349398,428.6577674110207,"['AKT1', 'VEGFA']",0.004384784852208924,GO_Biological_Process_2023
Regulation Of Endothelial Cell Migration (GO:0010594),0.0008417860041969778,57.86046511627907,409.651209367184,"['AKT1', 'VEGFA']",0.004663617351719023,GO_Biological_Process_2023
Positive Regulation Of DNA Repair (GO:0045739),0.000860907796340742,57.19252873563219,403.6375954618875,"['BRCA1', 'EGFR']",0.004734992879874081,GO_Biological_Process_2023
Regulation Of Phosphatidylinositol 3-Kinase Signaling (GO:0014066),0.0008802391137269697,56.53977272727273,397.7752223930347,"['PTEN', 'EGFR']",0.004806485520278921,GO_Biological_Process_2023
Positive Regulation Of MAP Kinase Activity (GO:0043406),0.0008997797846246235,55.901685393258425,392.05867268618533,"['EGFR', 'VEGFA']",0.00487809183235778,GO_Biological_Process_2023
Regulation Of Endothelial Cell Proliferation (GO:0001936),0.0009394884997984335,54.667582417582416,381.04261518159007,"['AKT1', 'VEGFA']",0.005021632192584584,GO_Biological_Process_2023
Positive Regulation Of Cellular Component Biogenesis (GO:0044089),0.0009394884997984335,54.667582417582416,381.04261518159007,"['CDK2', 'VEGFA']",0.005021632192584584,GO_Biological_Process_2023
